ronda_num,agente_nombre,capital_inicial_ronda,capital_final_ronda,ganancia_neta_ronda,apuesta_total_ronda,resultado_ronda,cartas_restantes_mazo
4486,AgenteBasico,89995956,89995953,-3,0,-1,34
4487,AgenteBasico,89995953,89995948,-5,5,-1,204
4488,AgenteBasico,89995948,89995948,0,5,0,198
4489,AgenteBasico,89995948,89995938,-10,10,-1,192
4490,AgenteBasico,89995938,89995933,-5,5,-1,186
4491,AgenteBasico,89995933,89995928,-5,5,-1,180
4492,AgenteBasico,89995928,89995933,5,5,1,176
4493,AgenteBasico,89995933,89995930,-3,0,-1,170
4494,AgenteBasico,89995930,89995925,-5,5,-1,165
4495,AgenteBasico,89995925,89995915,-10,10,-1,160
4496,AgenteBasico,89995915,89995915,0,5,0,154
4497,AgenteBasico,89995915,89995910,-5,5,-1,149
4498,AgenteBasico,89995910,89995905,-5,5,-1,144
4499,AgenteBasico,89995905,89995905,0,5,0,138
4500,AgenteBasico,89995905,89995900,-5,5,-1,134
4501,AgenteBasico,89995900,89995905,5,5,1,128
4502,AgenteBasico,89995905,89995900,-5,5,-1,123
4503,AgenteBasico,89995900,89995907,7,5,1,117
4504,AgenteBasico,89995907,89995902,-5,5,-1,111
4505,AgenteBasico,89995902,89995907,5,5,1,107
4506,AgenteBasico,89995907,89995902,-5,5,-1,102
4507,AgenteBasico,89995902,89995907,5,5,1,97
4508,AgenteBasico,89995907,89995902,-5,5,-1,91
4509,AgenteBasico,89995902,89995897,-5,5,-1,86
4510,AgenteBasico,89995897,89995902,5,5,1,81
4511,AgenteBasico,89995902,89995897,-5,5,-1,74
4512,AgenteBasico,89995897,89995892,-5,5,-1,69
4513,AgenteBasico,89995892,89995887,-5,5,-1,63
4514,AgenteBasico,89995887,89995892,5,5,1,58
4515,AgenteBasico,89995892,89995887,-5,5,-1,53
4516,AgenteBasico,89995887,89995892,5,5,1,47
4517,AgenteBasico,89995892,89995882,-10,10,-1,41
4518,AgenteBasico,89995882,89995887,5,5,1,34
4519,AgenteBasico,89995887,89995887,0,10,0,202
4520,AgenteBasico,89995887,89995887,0,5,0,196
4521,AgenteBasico,89995887,89995882,-5,5,-1,191
4522,AgenteBasico,89995882,89995877,-5,5,-1,186
4523,AgenteBasico,89995877,89995872,-5,5,-1,180
4524,AgenteBasico,89995872,89995877,5,5,1,174
4525,AgenteBasico,89995877,89995882,5,5,1,168
4526,AgenteBasico,89995882,89995877,-5,5,-1,163
4527,AgenteBasico,89995877,89995877,0,5,0,158
4528,AgenteBasico,89995877,89995872,-5,5,-1,154
4529,AgenteBasico,89995872,89995872,0,5,0,150
4530,AgenteBasico,89995872,89995872,0,5,0,144
4531,AgenteBasico,89995872,89995867,-5,5,-1,139
4532,AgenteBasico,89995867,89995862,-5,5,-1,133
4533,AgenteBasico,89995862,89995857,-5,5,-1,126
4534,AgenteBasico,89995857,89995862,5,5,1,121
4535,AgenteBasico,89995862,89995857,-5,5,-1,116
4536,AgenteBasico,89995857,89995852,-5,5,-1,110
4537,AgenteBasico,89995852,89995852,0,5,0,102
4538,AgenteBasico,89995852,89995847,-5,5,-1,97
4539,AgenteBasico,89995847,89995852,5,5,1,92
4540,AgenteBasico,89995852,89995847,-5,5,-1,85
4541,AgenteBasico,89995847,89995842,-5,5,-1,79
4542,AgenteBasico,89995842,89995837,-5,5,-1,74
4543,AgenteBasico,89995837,89995832,-5,5,-1,68
4544,AgenteBasico,89995832,89995832,0,5,0,63
4545,AgenteBasico,89995832,89995837,5,5,1,58
4546,AgenteBasico,89995837,89995837,0,5,0,53
4547,AgenteBasico,89995837,89995847,10,10,1,48
4548,AgenteBasico,89995847,89995844,-3,0,-1,40
4549,AgenteBasico,89995844,89995839,-5,5,-1,36
4550,AgenteBasico,89995839,89995849,10,10,1,203
4551,AgenteBasico,89995849,89995844,-5,5,-1,197
4552,AgenteBasico,89995844,89995841,-3,0,-1,192
4553,AgenteBasico,89995841,89995848,7,5,1,188
4554,AgenteBasico,89995848,89995848,0,5,0,184
4555,AgenteBasico,89995848,89995843,-5,5,-1,179
4556,AgenteBasico,89995843,89995838,-5,5,-1,174
4557,AgenteBasico,89995838,89995838,0,10,0,169
4558,AgenteBasico,89995838,89995843,5,5,1,164
4559,AgenteBasico,89995843,89995843,0,5,0,159
4560,AgenteBasico,89995843,89995838,-5,5,-1,154
4561,AgenteBasico,89995838,89995833,-5,5,-1,147
4562,AgenteBasico,89995833,89995828,-5,5,-1,142
4563,AgenteBasico,89995828,89995835,7,5,1,137
4564,AgenteBasico,89995835,89995835,0,5,0,133
4565,AgenteBasico,89995835,89995830,-5,5,-1,128
4566,AgenteBasico,89995830,89995825,-5,5,-1,121
4567,AgenteBasico,89995825,89995815,-10,10,-1,114
4568,AgenteBasico,89995815,89995805,-10,10,-1,108
4569,AgenteBasico,89995805,89995810,5,5,1,102
4570,AgenteBasico,89995810,89995815,5,5,1,96
4571,AgenteBasico,89995815,89995810,-5,5,-1,90
4572,AgenteBasico,89995810,89995815,5,5,1,84
4573,AgenteBasico,89995815,89995810,-5,5,-1,77
4574,AgenteBasico,89995810,89995815,5,5,1,71
4575,AgenteBasico,89995815,89995810,-5,5,-1,66
4576,AgenteBasico,89995810,89995810,0,5,0,60
4577,AgenteBasico,89995810,89995810,0,5,0,56
4578,AgenteBasico,89995810,89995805,-5,5,-1,51
4579,AgenteBasico,89995805,89995815,10,10,1,203
4580,AgenteBasico,89995815,89995810,-5,5,-1,196
4581,AgenteBasico,89995810,89995805,-5,5,-1,189
4582,AgenteBasico,89995805,89995805,0,5,0,182
4583,AgenteBasico,89995805,89995805,0,5,0,178
4584,AgenteBasico,89995805,89995800,-5,5,-1,172
4585,AgenteBasico,89995800,89995795,-5,5,-1,168
4586,AgenteBasico,89995795,89995795,0,10,0,162
4587,AgenteBasico,89995795,89995795,0,5,0,157
4588,AgenteBasico,89995795,89995800,5,5,1,151
4589,AgenteBasico,89995800,89995805,5,5,1,145
4590,AgenteBasico,89995805,89995800,-5,5,-1,140
4591,AgenteBasico,89995800,89995800,0,5,0,135
4592,AgenteBasico,89995800,89995790,-10,10,-1,128
4593,AgenteBasico,89995790,89995780,-10,10,-1,123
4594,AgenteBasico,89995780,89995775,-5,5,-1,117
4595,AgenteBasico,89995775,89995775,0,5,0,112
4596,AgenteBasico,89995775,89995770,-5,5,-1,105
4597,AgenteBasico,89995770,89995765,-5,5,-1,100
4598,AgenteBasico,89995765,89995760,-5,5,-1,93
4599,AgenteBasico,89995760,89995755,-5,5,-1,88
4600,AgenteBasico,89995755,89995760,5,5,1,81
4601,AgenteBasico,89995760,89995755,-5,5,-1,76
4602,AgenteBasico,89995755,89995750,-5,5,-1,71
4603,AgenteBasico,89995750,89995750,0,5,0,67
4604,AgenteBasico,89995750,89995745,-5,5,-1,62
4605,AgenteBasico,89995745,89995740,-5,5,-1,56
4606,AgenteBasico,89995740,89995730,-10,20,-1,50
4607,AgenteBasico,89995730,89995725,-5,5,-1,42
4608,AgenteBasico,89995725,89995720,-5,5,-1,37
4609,AgenteBasico,89995720,89995720,0,5,0,31
4610,AgenteBasico,89995720,89995720,0,5,0,203
4611,AgenteBasico,89995720,89995720,0,5,0,198
4612,AgenteBasico,89995720,89995730,10,10,1,189
4613,AgenteBasico,89995730,89995725,-5,5,-1,183
4614,AgenteBasico,89995725,89995720,-5,5,-1,178
4615,AgenteBasico,89995720,89995715,-5,5,-1,173
4616,AgenteBasico,89995715,89995720,5,5,1,168
4617,AgenteBasico,89995720,89995715,-5,5,-1,162
4618,AgenteBasico,89995715,89995720,5,5,1,156
4619,AgenteBasico,89995720,89995715,-5,5,-1,151
4620,AgenteBasico,89995715,89995720,5,5,1,146
4621,AgenteBasico,89995720,89995720,0,5,0,140
4622,AgenteBasico,89995720,89995715,-5,5,-1,135
4623,AgenteBasico,89995715,89995720,5,5,1,129
4624,AgenteBasico,89995720,89995725,5,5,1,123
4625,AgenteBasico,89995725,89995730,5,5,1,117
4626,AgenteBasico,89995730,89995725,-5,5,-1,112
4627,AgenteBasico,89995725,89995730,5,5,1,107
4628,AgenteBasico,89995730,89995735,5,5,1,100
4629,AgenteBasico,89995735,89995730,-5,5,-1,95
4630,AgenteBasico,89995730,89995735,5,5,1,90
4631,AgenteBasico,89995735,89995732,-3,0,-1,83
4632,AgenteBasico,89995732,89995737,5,5,1,78
4633,AgenteBasico,89995737,89995732,-5,5,-1,71
4634,AgenteBasico,89995732,89995727,-5,5,-1,66
4635,AgenteBasico,89995727,89995734,7,5,1,60
4636,AgenteBasico,89995734,89995734,0,5,0,55
4637,AgenteBasico,89995734,89995729,-5,5,-1,49
4638,AgenteBasico,89995729,89995719,-10,10,-1,44
4639,AgenteBasico,89995719,89995724,5,5,1,36
4640,AgenteBasico,89995724,89995719,-5,5,-1,30
4641,AgenteBasico,89995719,89995714,-5,5,-1,204
4642,AgenteBasico,89995714,89995714,0,5,0,197
4643,AgenteBasico,89995714,89995709,-5,5,-1,193
4644,AgenteBasico,89995709,89995709,0,5,0,186
4645,AgenteBasico,89995709,89995719,10,10,1,179
