mano_valor,mano_es_blanda,mano_apuesta,mano_num_cartas,mano_es_par_divisible,agente_nombre,agente_capital_inicial,dealer_valor_carta,accion_tomada,ganancia_neta,conteo_cartas,recompensa_normalizada
16,False,225,2,False,AgenteAleatorio1,60007,5,PEDIR,0,None,0.0
19,False,225,3,False,AgenteAleatorio1,60007,5,RENDIRSE,0,None,0.0
11,False,466,2,False,AgenteAleatorio1,60007,8,PLANTARSE,-466,None,-1.0
13,False,571,2,False,AgenteAleatorio1,59541,4,DOBLAR,1142,None,2.0
11,False,259,2,False,AgenteAleatorio1,60683,11,PEDIR,-259,None,-1.0
17,False,259,3,False,AgenteAleatorio1,60683,11,RENDIRSE,-259,None,-1.0
18,False,389,2,False,AgenteAleatorio1,60424,11,PLANTARSE,-389,None,-1.0
16,False,521,2,False,AgenteAleatorio1,60035,2,PEDIR,-521,None,-1.0
14,False,292,2,False,AgenteAleatorio1,59514,2,DOBLAR,584,None,2.0
15,False,80,2,False,AgenteAleatorio1,60098,10,DOBLAR,-160,None,-2.0
17,False,461,2,False,AgenteAleatorio1,59938,10,PEDIR,461,None,1.0
18,False,461,3,False,AgenteAleatorio1,59938,10,RENDIRSE,461,None,1.0
18,True,439,2,False,AgenteAleatorio1,60399,4,RENDIRSE,-219,None,-0.4988610478359909
18,False,314,2,False,AgenteAleatorio1,60179,4,RENDIRSE,-157,None,-0.5
17,False,480,2,False,AgenteAleatorio1,60022,3,PEDIR,-480,None,-1.0
13,False,309,2,False,AgenteAleatorio1,59542,10,PLANTARSE,-309,None,-1.0
20,False,267,2,True,AgenteAleatorio1,59233,10,RENDIRSE,-133,None,-0.49812734082397003
12,False,319,2,False,AgenteAleatorio1,59099,10,PEDIR,-319,None,-1.0
8,False,256,2,False,AgenteAleatorio1,58780,9,RENDIRSE,-128,None,-0.5
12,False,451,2,False,AgenteAleatorio1,58652,10,PLANTARSE,451,None,1.0
20,False,242,2,True,AgenteAleatorio1,59103,8,RENDIRSE,-121,None,-0.5
13,False,42,2,False,AgenteAleatorio1,58982,3,RENDIRSE,-21,None,-0.5
13,False,463,2,False,AgenteAleatorio1,58961,10,RENDIRSE,-231,None,-0.49892008639308855
17,False,37,2,False,AgenteAleatorio1,58729,9,RENDIRSE,-18,None,-0.4864864864864865
15,False,264,2,False,AgenteAleatorio1,58710,10,DOBLAR,-528,None,-2.0
14,False,526,2,False,AgenteAleatorio1,58182,3,DIVIDIR,526,None,1.0
16,False,120,2,False,AgenteAleatorio1,58708,10,DOBLAR,-240,None,-2.0
12,False,173,2,True,AgenteAleatorio1,58468,3,DOBLAR,346,None,2.0
12,False,554,2,False,AgenteAleatorio1,58814,10,DOBLAR,1108,None,2.0
